event_id,date_utc,time_utc,ticker,direction,event_type,score,path,dte,entry_price,spy_at_event,ret_1h_pct,ret_4h_pct,ret_eod_pct,ret_d1_pct,ret_d3_pct,spy_ret_eod_pct,excess_eod_pct,mfe_eod_pct,mae_eod_pct,factor_summary,screener_logic
08a4f373f39900a7,2026-04-17,13:07:25,TSLA,CALL,PATROL_PREPOSITION_TRANSITION,,,,393.9,,3.147,2.06,1.649,,,0.274,1.375,3.903,-0.281,transition:APPROACHING_to_TRIGGERED|trigger:396.62|spot:396.97|reason:,
3f514762189acc8c,2026-04-17,13:09:10,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:APPROACHING_to_TRIGGERED|trigger:253.44|spot:253.46|reason:,
bfa9e6f9d687b967,2026-04-17,13:09:13,TSLA,CALL,PATROL_PREPOSITION_TRANSITION,,,,393.9,,3.147,2.06,1.649,,,0.274,1.375,3.903,-0.281,transition:TRIGGERED_to_CONFIRMED|trigger:396.62|spot:397.9001|reason:,
2ada821c5828923f,2026-04-17,13:13:22,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:TRIGGERED_to_CONFIRMED|trigger:253.44|spot:254.1827|reason:,
75b4133782894f73,2026-04-17,13:15:10,NVDA,CALL,PATROL_PREPOSITION_TRANSITION,,,,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,transition:APPROACHING_to_TRIGGERED|trigger:201.4|spot:201.52|reason:,
60f838d64aec4e77,2026-04-17,13:16:23,NVDA,CALL,PATROL_PREPOSITION_TRANSITION,,,,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,transition:TRIGGERED_to_APPROACHING|trigger:201.4|spot:201.24|reason:,
18b2732c524d11cf,2026-04-17,13:26:31,NVDA,CALL,PATROL_PREPOSITION_TRANSITION,,,,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,transition:APPROACHING_to_WAITING|trigger:201.4|spot:200.37|reason:,
4a7fe6f1a1498eb6,2026-04-17,13:27:04,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:CONFIRMED_to_APPROACHING|trigger:253.44|spot:253.355|reason:,
e3c59aa02531d6d8,2026-04-17,13:27:06,NVDA,CALL,PATROL_PREPOSITION_TRANSITION,,,,201.16,,-0.435,-0.42,0.122,,,0.274,-0.152,0.36,-0.838,transition:WAITING_to_APPROACHING|trigger:201.4|spot:200.4152|reason:,
4dfcd9d50e21afba,2026-04-17,13:28:26,AMZN,CALL,PATROL_PREPOSITION_TRANSITION,,,,253.96,,0.228,-0.104,-1.248,,,0.274,-1.522,0.874,-1.516,transition:APPROACHING_to_CONFIRMED|trigger:253.44|spot:253.79|reason:,
